Fecha,Hora,Bosque,Transecto ,Periodo,Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Codigo_Final,Latitude,Longitude
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran157,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran158,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran159,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran160,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran161,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran162,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran163,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran164,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran165,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran166,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran167,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran168,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran169,,
4/5/20,13:30:00,5,2,2,Pedicularis sylvatica subsp. sylvatica,Bombus pascuorum,,no,,,tran170,43.05596889,-2.85812364
4/5/20,13:30:00,5,2,2,Potentilla erecta,Formicidae,,no,,,tran171,,
4/5/20,13:30:00,5,2,2,Scilla verna,,,si,27,,tran172,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran173,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran174,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran175,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran176,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran177,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran178,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran179,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran180,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran181,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran182,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran183,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran184,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran185,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran186,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran187,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran188,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran189,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran190,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran191,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran192,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran193,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran194,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran195,,
4/5/20,13:30:00,5,2,2,Potentilla erecta,?=23,,no,,,tran196,,
4/5/20,13:30:00,5,2,2,Pedicularis sylvatica subsp. sylvatica,Bombus sp.,,no,,,tran197,43.05596889,-2.85812364
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran198,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran199,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran200,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran201,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran202,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran203,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran204,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran205,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran206,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran207,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran208,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran209,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran210,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran211,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran212,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran213,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran214,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran215,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran216,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran217,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran218,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran219,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran220,,
5/5/20,10:25:00,4,1,2,Taraxacum sp.,Apis mellifera,,no,,,tran221,43.06698302,-2.86114075
5/5/20,10:25:00,4,1,2,Potentilla erecta,?=23,,no,,,tran222,,
5/5/20,10:25:00,4,1,2,Potentilla erecta,?=23,,no,,,tran223,,
5/5/20,10:25:00,4,1,2,Potentilla erecta,?=23,,no,,,tran224,,
5/5/20,10:25:00,4,1,2,Potentilla erecta,Sphaerophoria scripta,hembra,si,28,,tran225,,
5/5/20,10:25:00,4,1,2,Ranunculus sp.,Eristalis tenax,macho,si,29,,tran226,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=23,,no,,,tran227,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=23,,no,,,tran228,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=23,,no,,,tran229,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=23,,no,,,tran230,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=23,,no,,,tran231,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=23,,no,,,tran232,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=23,,no,,,tran233,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=23,,no,,,tran234,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,,,si,30,,tran235,,
5/5/20,13:38:00,4,2,2,Ranunculus sp.,Sphaerophoria scripta,hembra,no,,,tran236,,
5/5/20,13:38:00,4,2,2,Taraxacum sp.,Sphaerophoria scripta,macho,si,31,,tran237,,
5/5/20,13:38:00,4,2,2,Ranunculus sp.,,,si,32,,tran238,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,Sphaerophoria scripta,hembra,no,,,tran239,,
5/5/20,13:38:00,4,2,2,Polygala vulgaris,Bombus terrestris,,no,,,tran240,43.06698302,-2.86114075
5/5/20,13:38:00,4,2,2,Polygala vulgaris,Bombus sp.,,si,33,,tran241,,
5/5/20,13:38:00,4,2,2,Potentilla erecta,?=28,,no,,,tran242,,
5/5/20,13:38:00,4,2,2,Bellis perennis,?=23,,no,,,tran243,,
5/5/20,13:38:00,4,2,2,Bellis perennis,?=23,,no,,,tran244,,
5/5/20,13:38:00,4,2,2,Bellis perennis,?=23,,no,,,tran245,,
5/5/20,13:38:00,4,2,2,Bellis perennis,?=23,,no,,,tran246,,
5/5/20,13:38:00,4,2,2,Polygala vulgaris,Apis mellifera,,no,,,tran247,43.06698302,-2.86114075
5/5/20,13:38:00,4,2,2,Potentilla erecta,Sphaerophoria scripta,hembra,no,,,tran248,,
5/5/20,13:38:00,4,2,2,Polygala vulgaris,Apis mellifera,,no,,,tran249,43.06698302,-2.86114075
5/5/20,13:38:00,4,2,2,Potentilla erecta,Sphaerophoria scripta,hembra,no,,,tran250,,
5/5/20,16:30:00,4,3,2,Polygala vulgaris,Apis mellifera,,no,,,tran251,43.06698302,-2.86114075
5/5/20,16:30:00,4,3,2,Potentilla erecta,Sphaerophoria scripta,macho,si,34,Final del abdomen mas naranja,tran252,,
5/5/20,16:30:00,4,3,2,Bellis perennis,Sphaerophoria scripta,macho,no,,,tran253,,
5/5/20,16:30:00,4,3,2,Taraxacum sp.,Sphaerophoria scripta,macho,no,,,tran254,,
5/5/20,16:30:00,4,3,2,Potentilla erecta,Sphaerophoria scripta,macho,no,,,tran255,,
5/5/20,16:30:00,4,3,2,Polygala vulgaris,Bombus sp.,,si,35,,tran256,,
5/5/20,16:30:00,4,3,2,Potentilla erecta,Sphaerophoria scripta,macho,no,,,tran257,,
5/5/20,16:30:00,4,3,2,Potentilla erecta,Sphaerophoria scripta,macho,no,,,tran258,,
5/5/20,16:30:00,4,3,2,Potentilla erecta,Sphaerophoria scripta,macho,no,,,tran259,,
5/5/20,16:30:00,4,3,2,Potentilla erecta,Sphaerophoria scripta,macho,no,,,tran260,,
5/5/20,16:30:00,4,3,2,Polygala vulgaris,Bombus sp.,,no,,Lejos,tran261,,
5/5/20,16:30:00,4,3,2,Potentilla erecta,Sphaerophoria scripta,macho,no,,,tran262,,
5/5/20,16:30:00,4,3,2,Potentilla erecta,Sphaerophoria scripta,macho,no,,,tran263,,
6/5/20,10:30:00,1,1,3,Ranunculus sp.,Sphaerophoria scripta,hembra,si,36,,tran264,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran265,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran266,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran267,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran268,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran269,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran270,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran271,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran272,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran273,,
6/5/20,10:30:00,1,1,3,Vicia pyrenaica,Bombus pascuorum,,no,,,tran274,43.08122109,-2.81928523
6/5/20,10:30:00,1,1,3,Geranium robertianum,Apis mellifera,,no,,,tran275,43.08122109,-2.81928523
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran276,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran277,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran278,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran279,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran280,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran281,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran282,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran283,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran284,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran285,,
6/5/20,10:30:00,1,1,3,Bellis perennis,?=36,,no,,,tran286,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran287,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran288,,
6/5/20,10:30:00,1,1,3,Taraxacum sp.,?=36,,no,,,tran289,,
